Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6503.8153,0.0646,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.8153,0.0646,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.8573,0.0694,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.8573,0.0694,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.8993,0.0746,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.8993,0.0746,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.9413,0.0725,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.9413,0.0725,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.9833,0.0573,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.9833,0.0573,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.0253,0.0562,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.0253,0.0562,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.0673,0.0680,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.0673,0.0680,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.1093,0.0604,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.1093,0.0604,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.1513,0.0604,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.1513,0.0604,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.1933,0.0612,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.1933,0.0612,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.2352,0.0647,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
