Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6511.9123,0.0179,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.9942,-0.0001,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.0761,0.0239,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.1580,0.0239,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.2399,0.0053,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.3217,0.0178,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.4035,0.0126,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.4853,-0.0010,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.5670,0.0141,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.6488,0.0027,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.7305,-0.0017,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.8122,0.0339,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.8939,0.0195,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6512.9756,0.0170,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.0572,-0.0059,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.1388,-0.0044,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.2204,-0.0031,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.3020,0.0247,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.3835,0.0114,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.4651,-0.0013,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.5466,0.0053,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.6281,0.0003,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.7095,0.0196,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.7910,-0.0004,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.8724,-0.0086,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6513.9538,-0.0020,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.0352,0.0039,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.1165,0.0168,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.1979,-0.0007,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.2792,0.0022,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.3605,0.0132,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.4417,0.0061,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.5230,0.0056,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.6042,0.0285,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.6854,0.0186,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.7666,-0.0044,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.8478,0.0178,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6514.9289,0.0028,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.0101,0.0031,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.0912,0.0254,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.1722,0.0078,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.2533,-0.0025,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.3343,0.0090,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.4154,0.0124,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.4964,0.0037,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.5773,0.0108,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.6583,0.0120,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.7392,0.0203,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.8201,0.0045,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.9010,-0.0126,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6515.9819,0.0143,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6516.0627,0.0011,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6516.1436,0.0217,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6516.2244,0.0173,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6516.3051,-0.0038,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6516.3859,0.0209,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6516.4666,0.0078,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6516.5474,-0.0006,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6516.6280,0.0029,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6516.7087,0.0001,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6516.7894,0.0021,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6516.8700,0.0025,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6516.9506,0.0108,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6517.0312,0.0090,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6517.1118,0.0106,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6517.1923,0.0152,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6517.2728,0.0016,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6517.3533,0.0082,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6517.4338,-0.0022,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6517.5143,0.0103,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6517.5947,0.0089,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6517.6751,-0.0042,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
