Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6508.6063,0.0079,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.6900,0.0066,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.7736,0.0745,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.8572,0.0313,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6508.9408,0.0712,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.0243,0.0546,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.1079,0.0144,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.1913,-0.0027,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.2748,0.0395,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.3583,0.0473,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.4417,0.0610,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.5251,0.0496,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.6084,0.1030,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.6917,0.0072,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.7750,0.0598,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.8583,0.0070,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6509.9416,-0.0088,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.0248,0.0168,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.1080,0.0395,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.1911,0.0156,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.2743,0.0452,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.3574,0.0149,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.4405,0.0202,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.5235,0.0298,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.6066,0.0351,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.6896,0.0050,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.7725,0.1005,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.8555,0.0178,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6510.9384,0.0375,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.0213,0.0131,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.1042,0.0375,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.1870,0.0596,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.2698,0.0624,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.3526,0.0420,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.4354,0.0999,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.5181,0.0298,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.6008,0.0030,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6511.6835,-0.0083,0.0121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
